Route,First_1,First_2,First_3,Last_1 ,Last_2,Last_3,Direction ,Notes for route as at 2012,*Stops as at 2017,,
1,381,382,4451,226,225,224,From Sandymount (St. John's Church) Towards Santry (Shanard Rd.),,,,
1,226,228,229,380,378,377,From Santry (Shanard Rd.) To Sandymount (St. John's Church),,,,
4,7330,2051,6086,332,323,322,From Monkstown Avenue To Harristown,,,,
4,324,327,7113,7660,7226,2026,From Harristown To Monkstown Avenue,,,,
7,7639,7640,5047,4,281,400,From Brides Glen Luas To Mountjoy Sq.,"Brides Glen Luas not open, used to stop at Loughlinstown/Cherrywood",,,
7,1174,4962,4725,7639,5046,3220,From Mountjoy Sq. To Brides Glen Luas,,,,
7A,3222,3223,3224,4,281,400,From Loughlinstown To Mountjoy Sq.,Did not exist,,,
7A,1174,4962,4725,3220,3221,4982,From Mountjoy Sq. To Loughlinstown,,,,
7B,3544,3552,3553,4,281,320,From Shankill Towards Mountjoy Sq.,,,,
7B,4962,6059,334,3541,3542,3544,From Mountjoy Sq. To Shankill,,,,
7D,3057,3059,3060,7555,4,281,From Dalkey To Mountjoy Sq.,,,,
7D,4962,4725,6059,3057,3056,3055,From Mountjoy Sq. To Dalkey,,,,
9,4392,2458,2446,7131,6229,6219,From Limekiln Ave. To Charlestown,,,,
9,7132,6230,6228,4392,2457,2445,From Charlestown To Limekiln Ave.,,,,
11,449,450,3181,33,7220,6122,  From Sandyford Business District To Wadelai Park,,,,
11,6122,35,36,7057,4847,4848,  From Wadelai Park To Sandyford Business District,,,,
13,7229,7230,4617,6234,323,322,From Grange Castle To Harristown,,,,
13,6235,327,6016,6125,7229,7230,  From Harristown To Grange Castle,,,,
14,6041,2826,2842,248,246,245,"  
From Dundrum Luas Station Towards Beaumont (Ardlea Rd.) ",,,,
14,248,249,250,2865,2866,6044,  From Beaumont (Ardlea Rd.) To Dundrum Luas Station,,,,
14C,6041,2826,2842,297,7582,7578,  From Beaumont / Dundrum To City Centre,Did not exist,,,
14C,248,249,250,675,4415,336,From City Centre To Beaumont / Dundrum,,,,
15,6282,6335,6326,7236,7245,6317,"  
From Ballycullen Rd. Towards Clongriffin ",,,,
15,6318,7246,6320,3007,6283,6282,  From Clongriffin To Ballycullen Rd.,,,,
15A,1105,1107,1108,7558,353,354,  From Limekiln Ave. To Grand Canal Dock (Benson St.),,,,
15A,395,397,398,1104,1103,1102,  From Grand Canal Dock (Benson St.) To Limekiln Ave.,,,,
15B,6285,6286,6287,354,353,7558,From Stocking Ave. To Grand Canal Dock (Benson St.),,,,
15B,395,397,398,6280,6279,6278,  From Grand Canal Dock (Benson St.) To Stocking Ave.,,,,
16,5171,2976,2977,1629,1630,7347,From Ballinteer (Kingston) Towards Dublin Airport,,,,
16,7347,3669,7349,5051,5052,2975,  From Dublin Airport To Ballinteer (Kingston),,,,
16C,5171,2976,2977,1359,320,278,  From Ballinteer or Airport To City Centre,Did not exist,,,
16C,7347,3669,7349,52,262,270,From City Centre To Ballinteer or Airport,,,,
17,3085,3082,3083,7053,2089,2088,  From Blackrock Rail Station To Rialto,,,,
